time_ms,light_sensor
14733092,637
14733615,638
14734139,638
14734663,638
14735186,638
14735709,638
14736233,637
14736756,637
14737278,638
14737801,643
14738324,637
14738848,637
14739371,638
14739895,638
14740418,640
14740942,638
14741465,637
14741988,637
14742512,638
14743039,638
14743562,637
14744086,637
14744609,640
14745132,637
14745656,637
14746180,638
14746703,636
14747226,638
14747750,637
14748273,637
14748800,637
14749324,637
14749847,637
14750370,638
14750894,637
14751417,635
14751940,637
14752464,637
14752988,635
14753511,637
14754034,640
14754561,637
14755085,637
14755608,637
14756131,637
14756655,635
14757178,636
14757701,636
14758225,636
14758748,637
14759271,636
14759795,636
14760343,636
14760866,634
14761389,636
14761912,636
14762435,636
14762958,636
14763482,637
14764005,637
14764528,637
14765051,637
14765574,637
14766100,637
14766623,636
14767147,637
14767670,635
14768193,636
14768716,636
14769239,637
14769763,637
14770286,637
14770809,636
14771332,637
14771855,637
14772382,637
14772905,636
14773428,636
14773952,637
14774475,635
14774998,637
14775521,636
14776044,636
14776568,636
14777091,636
14777614,637
14778140,636
14778664,636
14779187,636
14779710,637
14780233,636
14780756,636
14781280,636
14781803,637
14782326,637
14782849,637
14783372,637
14783899,635
14784422,636
14784946,637
14785469,637
14785992,635
14786515,636
14787038,636
14787562,639
14788085,636
14788608,635
14789131,636
14789657,633
14790181,635
14790704,636
14791227,636
14791750,636
14792273,635
14792797,636
14793320,636
14793843,636
14794366,637
14794889,636
14795416,636
14795939,636
14796463,638
14796986,636
14797509,635
14798032,636
14798555,635
14799078,636
14799602,635
14800125,635
14800648,636
14801175,635
14801698,635
14802221,635
14802744,636
14803267,636
14803790,636
14804313,636
14804836,636
14805359,635
14805883,635
14806406,636
14806932,636
14807455,635
14807978,637
14808502,635
14809025,637
14809548,636
14810071,636
14810594,634
14811117,636
14811641,636
14812164,636
14812691,638
14813214,635
14813737,637
14814260,635
14814784,635
14815307,636
14815830,639
14816354,636
14816877,636
14817400,636
14817924,636
14818447,635
14818974,636
14819497,635
14820020,637
14820544,636
14821067,635
14821590,636
14822114,633
14822637,636
14823160,634
14823684,636
14824207,636
14824734,636
14825257,635
14825780,636
14826303,634
14826827,637
14827350,635
14827873,636
14828397,637
14828920,637
14829443,640
14829967,636
14830494,636
14831017,636
14831540,636
14832063,636
14832587,632
14833110,635
14833633,636
14834157,636
14834680,635
14835203,636
14835727,636
14836253,636
14836777,639
14837300,636
14837823,637
14838346,636
14838870,637
14839393,636
14839917,636
14840440,636
14840963,637
14841486,636
14842013,636
14842537,635
14843060,636
14843583,636
14844106,635
14844630,637
14845153,636
14845676,636
14846200,636
14846723,636
14847246,637
14847773,636
14848296,636
14848819,637
14849343,636
14849866,637
14850389,636
14850912,636
14851435,636
14851959,637
14852482,636
14853005,636
14853536,636
14854059,635
14854582,636
14855106,635
14855629,635
14856152,635
14856675,636
14857199,635
14857722,636
14858245,637
14858768,636
14859295,636
14859819,633
14860342,637
14860865,636
14861389,635
14861912,636
14862435,637
14862959,636
14863483,636
14864006,636
14864529,635
14865053,635
14865580,635
14866103,636
14866627,636
14867150,636
14867673,636
14868197,635
14868720,635
14869244,635
14869767,634
14870290,635
14870814,635
14871335,635
14871859,634
14872382,634
14872905,635
14873429,635
14873952,636
14874475,635
14874999,636
14875523,635
14876046,636
14876569,635
14877096,636
14877619,635
14878143,635
14878667,636
14879190,635
14879713,635
14880237,635
14880760,636
14881284,635
14881807,635
14882330,636
14882857,635
14883381,635
14883904,635
14884428,635
14884951,635
14885474,636
14885998,635
14886521,635
14887045,635
14887568,636
14888091,636
14888618,636
14889142,634
14889665,635
14890189,635
14890712,635
14891236,634
14891759,635
14892282,636
14892806,636
14893329,637
14893853,635
14894380,634
14894903,635
14895426,636
14895950,635
14896473,635
14896996,636
14897519,636
14898043,638
14898566,636
14899090,635
14899613,636
14900140,636
14900663,634
14901186,635
14901709,636
14902233,635
14902756,636
14903280,638
14903803,635
14904326,636
14904850,635
14905373,636
14905897,635
14906424,635
14906947,635
14907471,635
14907994,635
14908518,636
14909041,635
14909565,636
14910088,640
14910611,636
14911135,636
14911659,636
14912186,636
14912709,636
14913233,634
14913756,636
14914280,636
14914803,636
14915327,636
14915850,635
14916374,636
14916897,636
14917421,638
14917948,636
14918471,635
14918995,636
14919518,636
14920042,637
14920565,636
14921089,635
14921612,636
14922136,636
14922659,636
14923183,636
14923710,636
14924233,637
14924757,636
14925280,636
14925804,636
14926328,636
14926851,636
14927374,636
14927898,636
14928421,636
14928945,635
14929472,636
14929996,636
14930519,636
14931043,636
14931566,637
14932090,636
14932613,636
14933137,636
14933660,635
14934184,636
14934707,642
14935234,636
14935758,637
14936281,636
14936805,636
14937328,636
14937852,636
14938375,636
14938899,637
14939422,637
14939946,639
14940469,637
14940997,637
14941520,636
14942043,636
14942567,637
14943090,636
14943613,636
14944137,636
14944660,636
14945184,636
14945707,636
14946230,637
14946757,636
14947281,636
14947804,635
14948328,636
14948851,636
14949374,634
14949898,637
14950422,636
14950945,640
14951469,637
14951992,642
14952515,636
14953043,636
14953566,636
14954090,636
14954613,637
14955137,636
14955661,636
14956184,637
14956708,636
14957232,637
14957755,636
14958279,636
14958806,639
14959330,636
14959853,637
14960377,635
14960900,636
14961424,636
14961947,636
14962471,636
14962995,637
14963518,636
14964042,636
14964569,638
14965093,636
14965617,636
14966140,636
14966664,636
14967187,636
14967711,636
14968235,636
14968758,635
14969282,636
14969805,636
14970332,636
14970856,636
14971380,637
14971903,636
14972427,637
14972950,636
14973474,636
14973997,636
14974521,637
14975045,637
14975568,637
14976096,637
14976619,636
14977143,637
14977666,637
14978190,637
14978713,637
14979237,635
14979760,639
14980284,635
14980808,637
14981331,636
14981859,635
14982382,637
14982906,636
14983430,637
14983953,637
14984477,637
14985000,635
14985524,637
14986047,636
14986571,637
14987095,636
14987622,638
14988145,637
14988669,636
14989193,637
14989716,637
14990239,637
14990763,636
14991286,637
14991810,636
14992333,637
14992857,638
14993384,637
14993908,637
14994430,637
14994953,637
14995477,637
14996000,641
14996523,638
14997046,637
14997569,637
14998092,637
14998615,637
14999138,637
14999665,638
15000188,637
15000711,637
15001234,637
15001758,637
15002281,638
15002804,637
15003327,638
