time,time_ms,load_g
2021-03-20 12:05:39,339705,-9.2
2021-03-20 12:05:40,340505,-9.11
2021-03-20 12:05:41,341305,-9.06
2021-03-20 12:05:41,342105,-9.02
2021-03-20 12:05:42,342905,-9.12
2021-03-20 12:05:43,343705,-9.0
2021-03-20 12:05:44,344505,-8.78
2021-03-20 12:05:45,345304,-8.77
2021-03-20 12:05:45,346104,-8.48
2021-03-20 12:05:46,346904,-8.43
2021-03-20 12:05:47,347704,-8.48
2021-03-20 12:05:48,348504,-8.5
2021-03-20 12:05:49,349304,-8.44
2021-03-20 12:05:49,350104,-8.44
2021-03-20 12:05:50,350903,-8.23
2021-03-20 12:05:51,351703,-8.34
2021-03-20 12:05:52,352503,-8.21
2021-03-20 12:05:53,353303,-8.26
2021-03-20 12:05:53,354103,-8.17
2021-03-20 12:05:54,354903,-8.04
2021-03-20 12:05:55,355702,-8.04
2021-03-20 12:05:56,356502,-8.19
2021-03-20 12:05:57,357302,-8.04
2021-03-20 12:05:57,358101,-8.17
2021-03-20 12:05:58,358901,-8.42
2021-03-20 12:05:59,359700,-8.27
2021-03-20 12:06:00,360500,-8.19
2021-03-20 12:06:01,361299,-8.22
2021-03-20 12:06:01,362098,-8.47
2021-03-20 12:06:02,362898,-8.55
2021-03-20 12:06:03,363697,-8.52
2021-03-20 12:06:04,364496,-8.63
2021-03-20 12:06:05,365296,-8.5
2021-03-20 12:06:05,366095,-8.37
2021-03-20 12:06:06,366894,-8.38
2021-03-20 12:06:07,367694,-8.22
2021-03-20 12:06:08,368493,-8.19
2021-03-20 12:06:09,369292,-8.28
2021-03-20 12:06:09,370092,-8.45
2021-03-20 12:06:10,370891,-8.35
2021-03-20 12:06:11,371690,-8.56
2021-03-20 12:06:12,372489,-8.38
2021-03-20 12:06:13,373288,-7.98
2021-03-20 12:06:13,374088,-7.72
2021-03-20 12:06:14,374887,-7.86
2021-03-20 12:06:15,375686,-7.61
2021-03-20 12:06:16,376486,-7.34
2021-03-20 12:06:17,377285,-9.4
2021-03-20 12:06:17,378085,-9.3
2021-03-20 12:06:18,378884,-9.35
2021-03-20 12:06:19,379683,-9.45
2021-03-20 12:06:20,380482,-9.52
2021-03-20 12:06:21,381281,-9.41
2021-03-20 12:06:21,382081,-9.27
2021-03-20 12:06:22,382880,-9.4
2021-03-20 12:06:23,383679,-9.38
2021-03-20 12:06:24,384478,-9.4
2021-03-20 12:06:25,385277,-9.61
2021-03-20 12:06:25,386076,-9.51
2021-03-20 12:06:26,386875,-9.59
2021-03-20 12:06:27,387674,-9.7
2021-03-20 12:06:28,388473,-9.68
2021-03-20 12:06:29,389272,-9.24
2021-03-20 12:06:29,390071,-9.4
2021-03-20 12:06:30,390870,-9.37
2021-03-20 12:06:31,391669,-9.52
2021-03-20 12:06:32,392468,-9.57
2021-03-20 12:06:33,393267,-9.8
2021-03-20 12:06:33,394066,-10.82
2021-03-20 12:06:34,394865,-8.71
2021-03-20 12:06:35,395664,-8.29
2021-03-20 12:06:36,396462,-8.62
2021-03-20 12:06:37,397261,-8.83
2021-03-20 12:06:37,398060,-8.83
2021-03-20 12:06:38,398859,-8.85
2021-03-20 12:06:39,399657,-9.02
2021-03-20 12:06:40,400456,-8.98
2021-03-20 12:06:41,401255,-9.08
2021-03-20 12:06:41,402054,-9.15
2021-03-20 12:06:42,402853,-9.14
2021-03-20 12:06:43,403651,-9.36
2021-03-20 12:06:44,404450,-9.39
2021-03-20 12:06:45,405249,-6.37
2021-03-20 12:06:45,406048,-46.91
2021-03-20 12:06:46,406846,-74.71
2021-03-20 12:06:47,407645,-72.05
2021-03-20 12:06:48,408444,-73.97
2021-03-20 12:06:49,409242,-79.56
2021-03-20 12:06:49,410041,-79.05
2021-03-20 12:06:50,410839,-78.06
2021-03-20 12:06:51,411638,-78.12
2021-03-20 12:06:52,412436,-78.29
2021-03-20 12:06:53,413235,-78.23
2021-03-20 12:06:53,414034,-78.28
2021-03-20 12:06:54,414832,-78.41
2021-03-20 12:06:55,415631,-78.5
2021-03-20 12:06:56,416430,-78.53
2021-03-20 12:06:57,417229,-78.71
2021-03-20 12:06:57,418027,-78.48
2021-03-20 12:06:58,418826,-78.35
2021-03-20 12:06:59,419625,-78.61
2021-03-20 12:07:00,420423,-78.61
2021-03-20 12:07:01,421222,-78.56
2021-03-20 12:07:01,422020,-78.57
2021-03-20 12:07:02,422819,-78.78
2021-03-20 12:07:03,423618,-84.62
2021-03-20 12:07:04,424416,-0.21
2021-03-20 12:07:05,425215,253.04
2021-03-20 12:07:05,426013,326.44
2021-03-20 12:07:06,426811,329.17
2021-03-20 12:07:07,427609,273.26
2021-03-20 12:07:08,428407,280.15
2021-03-20 12:07:09,429206,354.15
2021-03-20 12:07:09,430004,3.65
2021-03-20 12:07:10,430802,-70.94
2021-03-20 12:07:11,431600,-68.59
2021-03-20 12:07:12,432399,-67.36
2021-03-20 12:07:13,433197,-66.61
2021-03-20 12:07:13,433996,-66.01
2021-03-20 12:07:14,434794,-65.56
2021-03-20 12:07:15,435593,-66.49
2021-03-20 12:07:16,436391,-66.96
2021-03-20 12:07:17,437189,-62.07
2021-03-20 12:07:17,437988,-35.91
2021-03-20 12:07:18,438786,-74.21
2021-03-20 12:07:19,439584,-88.87
2021-03-20 12:07:20,440383,-84.74
2021-03-20 12:07:21,441181,-84.96
2021-03-20 12:07:21,441979,-85.72
2021-03-20 12:07:22,442778,-85.46
2021-03-20 12:07:23,443576,-89.11
2021-03-20 12:07:24,444375,-89.22
2021-03-20 12:07:25,445173,-88.9
2021-03-20 12:07:25,445972,-87.71
2021-03-20 12:07:26,446770,-87.97
2021-03-20 12:07:27,447568,-86.96
2021-03-20 12:07:28,448367,-86.85
2021-03-20 12:07:28,449165,-87.0
2021-03-20 12:07:29,449963,-86.92
2021-03-20 12:07:30,450762,-87.64
2021-03-20 12:07:31,451560,-86.75
2021-03-20 12:07:32,452358,-100.28
2021-03-20 12:07:32,453157,-99.86
2021-03-20 12:07:33,453955,-96.82
2021-03-20 12:07:34,454753,-95.38
2021-03-20 12:07:35,455551,-93.02
2021-03-20 12:07:36,456350,-95.44
2021-03-20 12:07:36,457148,-89.89
2021-03-20 12:07:37,457946,-93.78
2021-03-20 12:07:38,458745,-95.45
2021-03-20 12:07:39,459543,-89.14
2021-03-20 12:07:40,460342,-86.66
2021-03-20 12:07:40,461140,-86.17
2021-03-20 12:07:41,461939,-86.64
2021-03-20 12:07:42,462737,-87.01
2021-03-20 12:07:43,463536,-89.28
2021-03-20 12:07:44,464334,-90.29
2021-03-20 12:07:44,465132,-91.63
2021-03-20 12:07:45,465931,-98.31
2021-03-20 12:07:46,466729,-90.42
2021-03-20 12:07:47,467527,-92.9
2021-03-20 12:07:48,468326,-94.04
2021-03-20 12:07:48,469124,-91.52
2021-03-20 12:07:49,469922,-91.4
2021-03-20 12:07:50,470720,-89.08
2021-03-20 12:07:51,471518,-91.82
2021-03-20 12:07:52,472316,-93.77
2021-03-20 12:07:52,473115,-100.77
2021-03-20 12:07:53,473913,-101.43
2021-03-20 12:07:54,474711,-97.43
2021-03-20 12:07:55,475510,-81.5
2021-03-20 12:07:56,476308,-78.89
2021-03-20 12:07:56,477106,-83.72
2021-03-20 12:07:57,477904,-80.12
2021-03-20 12:07:58,478703,-84.57
2021-03-20 12:07:59,479501,-77.47
2021-03-20 12:08:00,480300,-78.17
2021-03-20 12:08:00,481098,-90.84
2021-03-20 12:08:01,481896,-74.15
2021-03-20 12:08:02,482694,-68.28
2021-03-20 12:08:03,483493,-55.28
2021-03-20 12:08:04,484291,-49.1
2021-03-20 12:08:04,485089,-47.86
2021-03-20 12:08:05,485888,-78.78
2021-03-20 12:08:06,486686,-64.37
2021-03-20 12:08:07,487484,-32.0
2021-03-20 12:08:08,488283,-83.77
2021-03-20 12:08:08,489081,-87.47
2021-03-20 12:08:09,489880,-87.24
2021-03-20 12:08:10,490678,-87.14
2021-03-20 12:08:11,491477,-87.4
