time,time_ms,quality_sensor
2021-02-28 17:16:14,429740,56.0
2021-02-28 17:16:15,430760,56.0
2021-02-28 17:16:16,431783,56.0
2021-02-28 17:16:17,432802,56.0
2021-02-28 17:16:18,433822,58.0
2021-02-28 17:16:19,434841,56.0
2021-02-28 17:16:20,435861,56.0
2021-02-28 17:16:21,436884,57.0
2021-02-28 17:16:22,437903,56.0
2021-02-28 17:16:23,438923,57.0
2021-02-28 17:16:24,439942,57.0
2021-02-28 17:16:25,440965,56.0
2021-02-28 17:16:26,441985,57.0
2021-02-28 17:16:27,443004,58.0
2021-02-28 17:16:28,444024,56.0
2021-02-28 17:16:29,445044,56.0
2021-02-28 17:16:30,446067,57.0
2021-02-28 17:16:31,447086,56.0
2021-02-28 17:16:32,448105,57.0
2021-02-28 17:16:33,449125,57.0
2021-02-28 17:16:34,450145,56.0
2021-02-28 17:16:36,451168,56.0
2021-02-28 17:16:37,452187,55.0
2021-02-28 17:16:38,453207,55.0
2021-02-28 17:16:39,454226,56.0
2021-02-28 17:16:40,455245,56.0
2021-02-28 17:16:41,456269,56.0
2021-02-28 17:16:42,457288,56.0
2021-02-28 17:16:43,458308,57.0
2021-02-28 17:16:44,459327,56.0
2021-02-28 17:16:45,460350,56.0
2021-02-28 17:16:46,461370,55.0
2021-02-28 17:16:47,462389,56.0
2021-02-28 17:16:48,463408,56.0
2021-02-28 17:16:49,464428,55.0
2021-02-28 17:16:50,465450,56.0
2021-02-28 17:16:51,466470,56.0
2021-02-28 17:16:52,467490,55.0
2021-02-28 17:16:53,468509,55.0
2021-02-28 17:16:54,469529,54.0
2021-02-28 17:16:55,470552,54.0
2021-02-28 17:16:56,471571,54.0
2021-02-28 17:16:57,472591,55.0
2021-02-28 17:16:58,473611,55.0
2021-02-28 17:16:59,474631,54.0
2021-02-28 17:17:00,475654,54.0
2021-02-28 17:17:01,476673,55.0
2021-02-28 17:17:02,477693,53.0
2021-02-28 17:17:03,478713,55.0
2021-02-28 17:17:04,479736,55.0
2021-02-28 17:17:05,480755,54.0
2021-02-28 17:17:06,481775,55.0
2021-02-28 17:17:07,482795,56.0
2021-02-28 17:17:08,483815,56.0
2021-02-28 17:17:09,484838,55.0
2021-02-28 17:17:10,485857,54.0
2021-02-28 17:17:11,486877,53.0
2021-02-28 17:17:12,487896,54.0
2021-02-28 17:17:13,488916,54.0
2021-02-28 17:17:14,489940,54.0
2021-02-28 17:17:15,490959,54.0
2021-02-28 17:17:16,491979,53.0
2021-02-28 17:17:17,492998,53.0
2021-02-28 17:17:18,494018,54.0
2021-02-28 17:17:19,495041,54.0
2021-02-28 17:17:20,496061,55.0
2021-02-28 17:17:21,497081,53.0
2021-02-28 17:17:22,498100,55.0
2021-02-28 17:17:23,499123,54.0
2021-02-28 17:17:24,500143,54.0
2021-02-28 17:17:25,501163,54.0
2021-02-28 17:17:27,502182,53.0
2021-02-28 17:17:28,503202,54.0
2021-02-28 17:17:29,504224,54.0
2021-02-28 17:17:30,505244,54.0
2021-02-28 17:17:31,506264,54.0
2021-02-28 17:17:32,507284,53.0
2021-02-28 17:17:33,508303,53.0
2021-02-28 17:17:34,509326,54.0
2021-02-28 17:17:35,510346,52.0
2021-02-28 17:17:36,511366,53.0
2021-02-28 17:17:37,512386,53.0
2021-02-28 17:17:38,513405,52.0
2021-02-28 17:17:39,514429,53.0
2021-02-28 17:17:40,515448,52.0
2021-02-28 17:17:41,516468,52.0
2021-02-28 17:17:42,517488,53.0
2021-02-28 17:17:43,518508,54.0
2021-02-28 17:17:44,519531,53.0
2021-02-28 17:17:45,520550,54.0
2021-02-28 17:17:46,521570,52.0
2021-02-28 17:17:47,522590,53.0
2021-02-28 17:17:48,523610,52.0
2021-02-28 17:17:49,524633,52.0
2021-02-28 17:17:50,525653,52.0
2021-02-28 17:17:51,526672,52.0
2021-02-28 17:17:52,527692,52.0
2021-02-28 17:17:53,528712,51.0
2021-02-28 17:17:54,529735,53.0
2021-02-28 17:17:55,530755,52.0
2021-02-28 17:17:56,531775,51.0
2021-02-28 17:17:57,532794,52.0
2021-02-28 17:17:58,533814,52.0
2021-02-28 17:17:59,534838,52.0
2021-02-28 17:18:00,535857,52.0
2021-02-28 17:18:01,536877,52.0
2021-02-28 17:18:02,537897,52.0
2021-02-28 17:18:03,538917,53.0
2021-02-28 17:18:04,539940,52.0
2021-02-28 17:18:05,540959,51.0
2021-02-28 17:18:06,541979,52.0
2021-02-28 17:18:07,542998,52.0
2021-02-28 17:18:08,544018,51.0
2021-02-28 17:18:09,545041,51.0
2021-02-28 17:18:10,546061,51.0
2021-02-28 17:18:11,547081,50.0
2021-02-28 17:18:12,548100,51.0
2021-02-28 17:18:13,549120,52.0
2021-02-28 17:18:14,550144,51.0
2021-02-28 17:18:15,551163,51.0
2021-02-28 17:18:17,552183,52.0
2021-02-28 17:18:18,553203,51.0
2021-02-28 17:18:19,554223,51.0
2021-02-28 17:18:20,555246,52.0
2021-02-28 17:18:21,556266,51.0
2021-02-28 17:18:22,557286,51.0
2021-02-28 17:18:23,558306,53.0
2021-02-28 17:18:24,559329,51.0
2021-02-28 17:18:25,560349,51.0
2021-02-28 17:18:26,561369,52.0
2021-02-28 17:18:27,562389,51.0
2021-02-28 17:18:28,563408,51.0
2021-02-28 17:18:29,564432,52.0
2021-02-28 17:18:30,565452,52.0
2021-02-28 17:18:31,566472,53.0
2021-02-28 17:18:32,567491,52.0
2021-02-28 17:18:33,568511,51.0
2021-02-28 17:18:34,569535,52.0
2021-02-28 17:18:35,570554,53.0
2021-02-28 17:18:36,571574,51.0
2021-02-28 17:18:37,572594,52.0
2021-02-28 17:18:38,573614,53.0
2021-02-28 17:18:39,574637,52.0
2021-02-28 17:18:40,575657,52.0
2021-02-28 17:18:41,576677,52.0
2021-02-28 17:18:42,577697,52.0
2021-02-28 17:18:43,578717,51.0
2021-02-28 17:18:44,579740,52.0
2021-02-28 17:18:45,580760,52.0
2021-02-28 17:18:46,581779,52.0
2021-02-28 17:18:47,582799,52.0
2021-02-28 17:18:48,583819,52.0
2021-02-28 17:18:49,584843,51.0
2021-02-28 17:18:50,585862,52.0
2021-02-28 17:18:51,586881,53.0
2021-02-28 17:18:52,587900,53.0
2021-02-28 17:18:53,588920,52.0
2021-02-28 17:18:54,589943,53.0
2021-02-28 17:18:55,590962,53.0
2021-02-28 17:18:56,591981,53.0
